lindex,Sport,Year,Height,count
10430,Freestyle Skiing,1992,158.0,1
10431,Freestyle Skiing,1992,159.0,1
10432,Freestyle Skiing,1992,160.0,1
10433,Freestyle Skiing,1992,161.0,1
10434,Freestyle Skiing,1992,162.0,1
10435,Freestyle Skiing,1992,165.0,2
10436,Freestyle Skiing,1992,166.0,3
10437,Freestyle Skiing,1992,167.0,1
10438,Freestyle Skiing,1992,168.0,2
10439,Freestyle Skiing,1992,170.0,9
10440,Freestyle Skiing,1992,171.0,3
10441,Freestyle Skiing,1992,172.0,3
10442,Freestyle Skiing,1992,173.0,3
10443,Freestyle Skiing,1992,174.0,1
10444,Freestyle Skiing,1992,175.0,6
10445,Freestyle Skiing,1992,176.0,3
10446,Freestyle Skiing,1992,177.0,4
10447,Freestyle Skiing,1992,178.0,4
10448,Freestyle Skiing,1992,180.0,5
10449,Freestyle Skiing,1992,181.0,2
10450,Freestyle Skiing,1992,182.0,2
10451,Freestyle Skiing,1992,183.0,2
10452,Freestyle Skiing,1992,185.0,1
10453,Freestyle Skiing,1992,186.0,1
10454,Freestyle Skiing,1992,190.0,1
10455,Freestyle Skiing,1992,191.0,1
10456,Freestyle Skiing,1994,155.0,1
10457,Freestyle Skiing,1994,157.0,1
10458,Freestyle Skiing,1994,158.0,4
10459,Freestyle Skiing,1994,159.0,3
10460,Freestyle Skiing,1994,160.0,2
10461,Freestyle Skiing,1994,162.0,2
10462,Freestyle Skiing,1994,163.0,2
10463,Freestyle Skiing,1994,164.0,5
10464,Freestyle Skiing,1994,165.0,5
10465,Freestyle Skiing,1994,166.0,5
10466,Freestyle Skiing,1994,167.0,8
10467,Freestyle Skiing,1994,168.0,2
10468,Freestyle Skiing,1994,170.0,9
10469,Freestyle Skiing,1994,171.0,3
10470,Freestyle Skiing,1994,172.0,2
10471,Freestyle Skiing,1994,173.0,5
10472,Freestyle Skiing,1994,175.0,6
10473,Freestyle Skiing,1994,176.0,3
10474,Freestyle Skiing,1994,177.0,5
10475,Freestyle Skiing,1994,178.0,7
10476,Freestyle Skiing,1994,180.0,4
10477,Freestyle Skiing,1994,181.0,2
10478,Freestyle Skiing,1994,182.0,1
10479,Freestyle Skiing,1994,183.0,3
10480,Freestyle Skiing,1994,184.0,1
10481,Freestyle Skiing,1994,185.0,1
10482,Freestyle Skiing,1994,186.0,1
10483,Freestyle Skiing,1994,188.0,1
10484,Freestyle Skiing,1994,189.0,1
10485,Freestyle Skiing,1994,191.0,1
10486,Freestyle Skiing,1998,149.0,1
10487,Freestyle Skiing,1998,153.0,1
10488,Freestyle Skiing,1998,155.0,1
10489,Freestyle Skiing,1998,156.0,1
10490,Freestyle Skiing,1998,157.0,2
10491,Freestyle Skiing,1998,158.0,4
10492,Freestyle Skiing,1998,159.0,3
10493,Freestyle Skiing,1998,160.0,4
10494,Freestyle Skiing,1998,162.0,3
10495,Freestyle Skiing,1998,163.0,2
10496,Freestyle Skiing,1998,164.0,5
10497,Freestyle Skiing,1998,165.0,7
10498,Freestyle Skiing,1998,166.0,6
10499,Freestyle Skiing,1998,167.0,2
10500,Freestyle Skiing,1998,168.0,5
10501,Freestyle Skiing,1998,169.0,2
10502,Freestyle Skiing,1998,170.0,9
10503,Freestyle Skiing,1998,171.0,5
10504,Freestyle Skiing,1998,172.0,7
10505,Freestyle Skiing,1998,173.0,10
10506,Freestyle Skiing,1998,174.0,2
10507,Freestyle Skiing,1998,175.0,3
10508,Freestyle Skiing,1998,176.0,3
10509,Freestyle Skiing,1998,177.0,1
10510,Freestyle Skiing,1998,178.0,5
10511,Freestyle Skiing,1998,179.0,1
10512,Freestyle Skiing,1998,180.0,7
10513,Freestyle Skiing,1998,181.0,2
10514,Freestyle Skiing,1998,182.0,1
10515,Freestyle Skiing,1998,183.0,1
10516,Freestyle Skiing,1998,186.0,1
10517,Freestyle Skiing,1998,187.0,1
10518,Freestyle Skiing,1998,188.0,1
10519,Freestyle Skiing,1998,193.0,1
10520,Freestyle Skiing,2002,153.0,2
10521,Freestyle Skiing,2002,156.0,1
10522,Freestyle Skiing,2002,157.0,5
10523,Freestyle Skiing,2002,158.0,2
10524,Freestyle Skiing,2002,160.0,5
10525,Freestyle Skiing,2002,161.0,1
10526,Freestyle Skiing,2002,162.0,4
10527,Freestyle Skiing,2002,163.0,1
10528,Freestyle Skiing,2002,164.0,6
10529,Freestyle Skiing,2002,165.0,8
10530,Freestyle Skiing,2002,166.0,3
10531,Freestyle Skiing,2002,167.0,4
10532,Freestyle Skiing,2002,168.0,5
10533,Freestyle Skiing,2002,169.0,5
10534,Freestyle Skiing,2002,170.0,8
10535,Freestyle Skiing,2002,171.0,6
10536,Freestyle Skiing,2002,172.0,3
10537,Freestyle Skiing,2002,173.0,8
10538,Freestyle Skiing,2002,174.0,2
10539,Freestyle Skiing,2002,175.0,6
10540,Freestyle Skiing,2002,176.0,1
10541,Freestyle Skiing,2002,177.0,1
10542,Freestyle Skiing,2002,178.0,4
10543,Freestyle Skiing,2002,179.0,2
10544,Freestyle Skiing,2002,180.0,6
10545,Freestyle Skiing,2002,181.0,1
10546,Freestyle Skiing,2002,182.0,1
10547,Freestyle Skiing,2002,183.0,1
10548,Freestyle Skiing,2002,185.0,1
10549,Freestyle Skiing,2002,187.0,1
10550,Freestyle Skiing,2002,193.0,1
10551,Freestyle Skiing,2006,152.0,1
10552,Freestyle Skiing,2006,153.0,2
10553,Freestyle Skiing,2006,155.0,1
10554,Freestyle Skiing,2006,156.0,1
10555,Freestyle Skiing,2006,157.0,8
10556,Freestyle Skiing,2006,158.0,4
10557,Freestyle Skiing,2006,160.0,6
10558,Freestyle Skiing,2006,161.0,1
10559,Freestyle Skiing,2006,162.0,6
10560,Freestyle Skiing,2006,163.0,1
10561,Freestyle Skiing,2006,164.0,4
10562,Freestyle Skiing,2006,165.0,5
10563,Freestyle Skiing,2006,166.0,3
10564,Freestyle Skiing,2006,167.0,3
10565,Freestyle Skiing,2006,168.0,8
10566,Freestyle Skiing,2006,169.0,2
10567,Freestyle Skiing,2006,170.0,10
10568,Freestyle Skiing,2006,171.0,4
10569,Freestyle Skiing,2006,172.0,2
10570,Freestyle Skiing,2006,173.0,3
10571,Freestyle Skiing,2006,175.0,10
10572,Freestyle Skiing,2006,176.0,5
10573,Freestyle Skiing,2006,177.0,4
10574,Freestyle Skiing,2006,178.0,5
10575,Freestyle Skiing,2006,179.0,1
10576,Freestyle Skiing,2006,180.0,5
10577,Freestyle Skiing,2006,181.0,1
10578,Freestyle Skiing,2006,182.0,2
10579,Freestyle Skiing,2006,183.0,1
10580,Freestyle Skiing,2006,184.0,1
10581,Freestyle Skiing,2006,185.0,2
10582,Freestyle Skiing,2006,186.0,3
10583,Freestyle Skiing,2006,197.0,1
10584,Freestyle Skiing,2010,150.0,1
10585,Freestyle Skiing,2010,152.0,1
10586,Freestyle Skiing,2010,153.0,1
10587,Freestyle Skiing,2010,156.0,1
10588,Freestyle Skiing,2010,157.0,7
10589,Freestyle Skiing,2010,159.0,1
10590,Freestyle Skiing,2010,160.0,9
10591,Freestyle Skiing,2010,161.0,2
10592,Freestyle Skiing,2010,162.0,8
10593,Freestyle Skiing,2010,163.0,6
10594,Freestyle Skiing,2010,164.0,7
10595,Freestyle Skiing,2010,165.0,6
10596,Freestyle Skiing,2010,166.0,4
10597,Freestyle Skiing,2010,167.0,7
10598,Freestyle Skiing,2010,168.0,8
10599,Freestyle Skiing,2010,169.0,4
10600,Freestyle Skiing,2010,170.0,11
10601,Freestyle Skiing,2010,171.0,4
10602,Freestyle Skiing,2010,172.0,5
10603,Freestyle Skiing,2010,173.0,8
10604,Freestyle Skiing,2010,174.0,5
10605,Freestyle Skiing,2010,175.0,8
10606,Freestyle Skiing,2010,176.0,10
10607,Freestyle Skiing,2010,177.0,5
10608,Freestyle Skiing,2010,178.0,14
10609,Freestyle Skiing,2010,179.0,1
10610,Freestyle Skiing,2010,180.0,5
10611,Freestyle Skiing,2010,181.0,3
10612,Freestyle Skiing,2010,182.0,3
10613,Freestyle Skiing,2010,183.0,4
10614,Freestyle Skiing,2010,184.0,1
10615,Freestyle Skiing,2010,185.0,2
10616,Freestyle Skiing,2010,186.0,2
10617,Freestyle Skiing,2010,188.0,1
10618,Freestyle Skiing,2010,189.0,1
10619,Freestyle Skiing,2010,190.0,1
10620,Freestyle Skiing,2010,192.0,2
10621,Freestyle Skiing,2010,193.0,2
10622,Freestyle Skiing,2010,197.0,1
10623,Freestyle Skiing,2014,150.0,1
10624,Freestyle Skiing,2014,152.0,1
10625,Freestyle Skiing,2014,153.0,1
10626,Freestyle Skiing,2014,154.0,1
10627,Freestyle Skiing,2014,155.0,3
10628,Freestyle Skiing,2014,156.0,2
10629,Freestyle Skiing,2014,157.0,4
10630,Freestyle Skiing,2014,158.0,3
10631,Freestyle Skiing,2014,159.0,2
10632,Freestyle Skiing,2014,160.0,9
10633,Freestyle Skiing,2014,161.0,3
10634,Freestyle Skiing,2014,162.0,11
10635,Freestyle Skiing,2014,163.0,10
10636,Freestyle Skiing,2014,164.0,6
10637,Freestyle Skiing,2014,165.0,14
10638,Freestyle Skiing,2014,166.0,2
10639,Freestyle Skiing,2014,167.0,10
10640,Freestyle Skiing,2014,168.0,17
10641,Freestyle Skiing,2014,169.0,8
10642,Freestyle Skiing,2014,170.0,19
10643,Freestyle Skiing,2014,171.0,7
10644,Freestyle Skiing,2014,172.0,7
10645,Freestyle Skiing,2014,173.0,7
10646,Freestyle Skiing,2014,174.0,5
10647,Freestyle Skiing,2014,175.0,14
10648,Freestyle Skiing,2014,176.0,10
10649,Freestyle Skiing,2014,177.0,5
10650,Freestyle Skiing,2014,178.0,16
10651,Freestyle Skiing,2014,179.0,4
10652,Freestyle Skiing,2014,180.0,15
10653,Freestyle Skiing,2014,181.0,8
10654,Freestyle Skiing,2014,182.0,7
10655,Freestyle Skiing,2014,183.0,10
10656,Freestyle Skiing,2014,184.0,4
10657,Freestyle Skiing,2014,185.0,3
10658,Freestyle Skiing,2014,186.0,3
10659,Freestyle Skiing,2014,188.0,4
10660,Freestyle Skiing,2014,189.0,2
10661,Freestyle Skiing,2014,190.0,2
10662,Freestyle Skiing,2014,192.0,2
10663,Freestyle Skiing,2014,194.0,1
