Rank,NOC,Gold,Silver,Bronze,Total
1,Norway (NOR),14,14,11,39
2,Germany (GER),14,10,7,31
3,Canada (CAN),11,8,10,29
4,United States (USA),9,8,6,23
5,Netherlands (NED),8,6,6,20
6,Sweden (SWE),7,6,1,14
7,South Korea (KOR)*,5,8,4,17
8,Switzerland (SUI),5,6,4,15
9,France (FRA),5,4,6,15
10,Austria (AUT),5,3,6,14
11,Japan (JPN),4,5,4,13
12,Italy (ITA),3,2,5,10
13,Olympic Athletes from Russia (OAR),2,6,9,17
14,Czech Republic (CZE),2,2,3,7
15,Belarus (BLR),2,1,0,3
16,China (CHN),1,6,2,9
17,Slovakia (SVK),1,2,0,3
18,Finland (FIN),1,1,4,6
19,Great Britain (GBR),1,0,4,5
20,Poland (POL),1,0,1,2
21,Hungary (HUN),1,0,0,1
21,Ukraine (UKR),1,0,0,1
23,Australia (AUS),0,2,1,3
24,Slovenia (SLO),0,1,1,2
25,Belgium (BEL),0,1,0,1
26,New Zealand (NZL),0,0,2,2
26,Spain (ESP),0,0,2,2
28,Kazakhstan (KAZ),0,0,1,1
28,Latvia (LAT),0,0,1,1
28,Liechtenstein (LIE),0,0,1,1
Totals (30 NOCs),Totals (30 NOCs),103,102,102,307
